JIVDATE,INCIDENTSITE,IMAGES1,CLEANUPCOMPLETED,TERRAIN,COMMENTS,month,DATEREPORTED,SPILLVOLUME,JIVREPORT,year,CAUSE
9-Jan-11,Belema well 3 at Belema,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/Belema_Well_3_well_head_JIV_Picture_of_9_Jan.pdf,Clean up of residual impacted areas completed on 28th January 2011.,Swamp/Water,"Well was secured on 9th January 2011. No recoverable oil found on site, free phase oil was consumed by fire. Post Cleanup Inspection was carried out on 20th April 2011.",january,7-Jan-11,69,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/Belema_Well_3_well_head_JIV_report_of_9_Jan.pdf,2011,Sabotage/Theft
11-Jan-11,10'' Kokori Pipeline at Idjerhe,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/10_Kokori_Pl_pic_11_jan.pdf,Cleanup completed on 8th February 2011,Land,"No recoverable oil was found on site. JIV took two days, concluded on 12th January 2011. Post Cleanup Inspection was carried out on 10th February 2011.",january,7-Jan-11,3.5,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/JIV_Report_for_10_inch_Kokori_DL_at_idjerhe_3.pdf,2011,Sabotage/Theft
11-Jan-11,Ubie Well 9S Flowline at Ubie,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/Ubie_Well_9_Flowline_JIV_Picture_of_11_Jan.pdf,Recovery of spilled volume completed on 29th January 2011. Cleanup completed on 19th February 2011.,Land,"Initial volume of spill estimated during JIV of 11Jan2011 was 23.1 bbls. However, 279 bbls of oil was subsequently recovered from a pit and under vegetation near the spill point, resulting in a restated volume of 399 bbls. Restated volume has been communicated to the Regulators as per statutory requirement. Post Cleanup Inspection was carried out on 21st March 2011",january,9-Jan-11,399,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/Ubie_Well_9_Flowline_JIV_Report_of_11_Jan.pdf,2011,Sabotage/Theft
15-Jan-11,"28""  Trans Niger Pipeline at  Bodo Creek",http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/Bodo west  JIV Picture of 15 Jan.pdf,Recovery of spilled volume completed on 25th Jan 2011. The recovered volume included oil from non-SPDC sources in the same locality. Additional recovered volume has been communicated to the Regulators.,Swamp,"Initial volume of spill estimated during the JIV of 15th Jan 2011 was 129 bbls. However, 156 bbls of oil was subsequently recovered, resulting in a restated volume of 233 bbls. The site is continually being impacted by crude oil bunkering and illegal refinery activities. Discussions with the authorities continue to bring about a permanent solution leading to long term cleanup and remediation. Despite the occurrence of frequent re-impacting from other sources, SPDC commenced pre-cleanup assessment of the area on 19th April and this was completed on 28th May 2011. Cleanup of the entire impacted area as assessed was initiated on 20th December 2011, starting at the Gio end, which has the least potential for re-impact. Work will then proceed downstream for full coverage and minimum risk of re-impacting.",january,13-Jan-11,233,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/28 Bomu Bonny Pipeline at Bodo west JIV of 15 Jan.pdf,2011,Sabotage/Theft
19-Jan-11,12'' Benisede - Isampou Pipeline at Ekeremor,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/Benisede spill incident picture of 19 Jan.pdf,"Recovery of spilled volume was scheduled for completion in January 2011, but suspended on 21st January 2011 due to community disturbance. Community issue now resolved. Cleanup of residual impacted areas re-commenced on 26th March 2011 and was completed on 23rd April 2011.",Swamp,"Following the JIV of 19th January 2011, a second leak point was confirmed on the same 12"" Benisede - Isampou pipeline, about 2km East of the first point. A second JIV was carried out on 9th February 2011. Post Cleanup Inspection was completed on 4th May 2011.",january,13-Jan-11,178.2,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/Benisede JIV.pdf,2011,Sabotage/Theft
18-Jan-11,Ogini Well 9T Flowline at Ovrode/Ellu,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/Ogini spill incident picture  of 19 Jan.pdf,Cleanup completed on 9th February 2011.,Land,Post Cleanup Inspection was carried out on 17th February 2011.,january,13-Jan-11,4.4,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/Ogini JIV.pdf,2011,Sabotage/Theft
18-Jan-11,Agbada Well 58L Wellhead at Agbada,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/agbada well 58 pic of 18 Jan.pdf,Recovery of spilled volume  completed on 21st January 2011. Clean up of residual impacted areas completed on 1st February 2011.,Land,Post cleanup inspection completed on 16th February 2011.,january,15-Jan-11,1,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/agbada well 58 JIV of 18 Jan.pdf,2011,Operational
18-Jan-11,Nun River Well 15 Flowline at Nun River,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/Nun River 15 fl Picture of 15 Jan.pdf,"Recovery of spilled volume which was suspended on 20th January 2011, recommenced on 5th February 2011 and completed on 9th February 2011. Cleanup completed on 24th February 2011.",Swamp/Land,Post Cleanup Inspection was carried out  on 6th May 2011.,january,15-Jan-11,8.6,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/Nun River W 15 FL JIV of 18 Jan 11.pdf,2011,Sabotage/Theft
18-Jan-11,Otamiri Well  7L Flowline at Umuechem,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/Otamiri well 7L pic of 18 Jan.pdf,No recoverable oil was found on site. Spilled oil absorbed into the soil. Cleanup completed on 10th February 2011,Land,Cleanup of residual impacted areas was initially disrupted by community on 2nd February 2011.  Post Cleanup Inspection was carried out  on 23rd February 2011.,january,15-Jan-11,1,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/Otamiri well 7L.pdf,2011,Operational
18-Jan-11,Bonny Flow Station at Oloma,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/Bonny FS in Oloma Picture of 18 Jan.pdf,No recoverable oil was found on site.  Spill impact observed as dispersing sheen and stains within bund wall. Cleanup completed on 16th February 2011.,Water,"Post Cleanup Inspection initially planned for April 2011, but delayed due to movement restrictions associated with the April 2011 general elections. Post Cleanup Inspection completed on 19th May 2011.",january,17-Jan-11,3,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/Bonny FS JIV of 18 Jan 11.pdf,2011,Operational
